,smis.uni
399,C([*])C([*])(C(=O)NC(C)CC)
400,C([*])C([*])(C(=O)O)
401,C([*])C([*])(C(=O)OCC1=CC=CC=C1)
402,C([*])C([*])(C(=O)OCCCC)
403,C([*])C([*])(C(=O)OC(C=C1)=CC=C1[Cl])
404,C([*])C([*])(C(=O)OCCC#N)
405,C([*])C([*])(C(=O)OCC#N)
406,C([*])C([*])(C(=O)OC1CCCCC1)
407,C([*])C([*])(C(=O)OCC)
408,C([*])C([*])(C(=O)OCC(CC)CCCC)
409,C([*])C([*])(C(=O)OCC)([Cl])
410,C([*])C([*])(C(=O)OCCCCCC)
411,C([*])C([*])(C(=O)OCC(C)C)
412,C([*])C([*])(C(=O)OC(C)C)
413,C([*])C([*])(C(=O)OC)
414,C([*])C([*])(C(=O)OCCCCCCCC)
415,C([*])C([*])(C(=O)OCCC)
416,C([*])C([*])(C(=O)OCCC)([Cl])
417,C([*])C([*])(C(=O)OC(C)CC)
418,C([*])C([*])(C(=O)OCCCCCCCCCCCCCCCCCC)
419,C([*])C([*])(C(=O)OC(C)(C)C)
420,C([*])C([*])(C(=O)OCC(F)(F)C(F)F)
421,C([*])C([*])(CC)
422,C([*])C([*])(CCCC)
423,C([*])C([*])(C1CCCCC1)
424,C([*])C([*])(CCCCCCC)
425,C([*])C([*])(CCCCCC)
426,C([*])C([*])(C)(C)
427,C([*])(CC(C)C)C([*])
428,C([*])(C(C)C)C([*])
429,C([*])(C)(CC)C([*])
430,C([*])(CCCCCCCC)C([*])
431,C([*])C([*])(CCCCC)
432,C([*])C([*])(CCC)
433,C([*])C([*])(C(C)(C)C)
434,O([*])C(COCCCC)C([*])
435,O([*])CC([*])(C[Cl])
436,C([*])CCCCCO([*])
437,O([*])C(COC)C([*])
438,O([*])C(COCCCCCC)C([*])
439,C([*])COCO([*])
440,C([*])CCCOCO([*])
441,O([*])C(C)C([*])
442,C([*])CCCO([*])
443,C([*])(C[Cl])(C[Cl])CCO([*])
444,N([*])CCCCCC([*])(=O)
445,N([*])C(=O)CCCCCCCCCC([*])
446,N([*])C(=O)CCCCCCCCCCC([*])
447,N([*])C(=O)CCCCC(=O)NCCCCCC([*])
448,N([*])C(=O)CCCCCCCCC(=O)NCCCCCC([*])
449,N([*])C(=O)CCCCCCCCCCC(=O)NCCCCCC([*])
450,N([*])C(=O)CCCCCCC([*])
451,N([*])C(=O)C(C=C1)=CC=C1C(=O)NCCCCCC([*])
452,N([*])C(C=C1)=CC=C1NC(=O)C(C=C2)=CC=C2C([*])(=O)
453,N([*])C(=C1)C=CC=C1NC(=O)C(=C2)C=CC=C2C([*])(=O)
454,O([*])C(=O)C(C=C1)=CC=C1CCCCCC(C=C2)=CC=C2C([*])(=O)
455,O([*])C(=O)C(C=C1)=CC=C1CCCCC(C=C2)=CC=C2C([*])(=O)
456,O([*])C(=O)CCCCCCCC([*])(=O)
457,C([*])(=O)C(C=C1)=CC=C1C(=O)OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O([*])
458,O([*])C(=O)C(=CC=C1)C=C1C(=O)OCCCC([*])
459,O([*])CCCCOC(=O)CCCCCCCCC([*])(=O)
460,O([*])CCOC(=O)CCCCCCCCC([*])(=O)
461,O([*])CCOC(=O)CCC([*])(=O)
462,O([*])C(=O)C(=C1)C=CC=C1C(=O)OCC([*])
463,O([*])CCOC(=O)C(C=C1)=CC(C=C2)=C1C=C2C([*])(=O)
464,O([*])C(=O)C(C=CC=C1)=C1C(=O)OCC([*])
465,O([*])C(=O)C(C=C1)=CC=C1C(=O)OCC([*])
466,O([*])CCCCCCOC(=O)CCCCCCCCC([*])(=O)
467,C([*])(C)CC(=O)O([*])
468,C([*])(C)C(=O)O([*])
469,O([*])CCCOC(=O)CCC([*])(=O)
470,O([*])C(=O)C(C=C1)=CC=C1C(=O)OCCC([*])
471,C([*])(C=C1)=CC=C1OC(C=C2)=CC=C2C(=O)C(C=C3)=CC=C3C([*])(=O)
472,C([*])CC([*])(=O)
473,C([*])C(C)C([*])(=O)
474,C([*])C([*])(C1=C([Cl])C=CC=C1)
475,C([*])C([*])(C1=CC=C([Cl])C=C1)
476,C([*])C([*])(C1=C(F)C=CC(F)=C1)
477,C([*])C([*])(C1=CC=C(F)C=C1)
478,C([*])C([*])(C=C)
479,C([*])C=CC([*])
480,C([*])(CC)=CCC([*])
481,C([*])(C)=CCC([*])
482,C([*])C=CC([*])(C)
483,C([*])(C(=O)OC)C([*])(C(=O)OC)
484,C([*])(C(=O)OCC)C([*])(C(=O)OCC)
485,C([*])(C(=O)OCCC)C([*])(C(=O)OCCC)
486,O([*])C(=O)OC(C=C1)=CC=C1SC(C=C2)=CC=C2([*])
487,C([*])(=O)OC(C=C1)=CC=C1C(CC)(C)C(C=C2)=CC=C2O([*])
